movieid,year,isEnglish,country,runningtime
1672052,3,T,other,2
1672111,4,T,other,2
1672580,4,T,USA,3
1672716,4,T,USA,2
1672946,4,T,USA,0
1673647,3,F,France,3
1673658,4,T,USA,2
1673848,4,T,USA,2
1674388,4,T,USA,2
1674737,3,T,USA,2
1677011,4,T,USA,2
1677258,3,F,France,1
1677346,4,T,USA,1
1677472,1,T,USA,1
1677516,4,T,USA,2
1677631,3,T,USA,3
1678036,3,T,USA,3
1678591,4,T,UK,2
1679029,4,T,USA,2
1679461,4,T,USA,1
1679507,4,T,USA,1
1679920,4,F,other,2
1681633,4,T,USA,3
1681655,4,T,USA,2
1682630,3,F,USA,1
1682657,4,T,USA,1
1682692,4,T,USA,2
1682746,4,T,UK,3
1682922,4,T,USA,3
1684201,4,T,USA,2
1684430,4,T,USA,3
1684442,4,T,USA,1
1684486,4,T,USA,1
1684910,4,T,USA,1
1685241,2,T,USA,1
1685309,3,T,USA,1
1685405,4,T,USA,3
1685463,3,T,UK,3
1685493,4,T,UK,1
1685815,4,T,USA,2
1686071,4,T,other,2
1686209,2,T,USA,2
1687181,4,T,USA,2
1687191,1,T,USA,0
1687544,3,T,USA,3
1687685,4,T,USA,2
1687730,4,T,USA,2
1687738,2,T,USA,1
1687905,4,T,USA,3
1688103,4,T,USA,2
1688565,4,T,UK,2
1689117,4,T,other,1
1689183,4,T,USA,1
1689210,4,T,UK,1
1689263,4,T,USA,1
1689475,3,T,UK,1
1690318,4,T,USA,1
1690377,3,T,UK,3
1690616,4,T,USA,3
1690710,4,T,USA,1
1690773,4,T,UK,2
1690958,4,T,other,2
1691077,4,T,USA,2
1691387,4,T,USA,2
1691642,3,T,UK,3
1691685,4,T,other,2
1691793,4,T,USA,3
1692173,4,T,other,3
1692404,4,T,USA,1
1692580,4,T,UK,1
1693225,4,T,USA,1
1693305,3,T,UK,3
1693341,3,T,USA,1
1693345,4,T,USA,2
1693346,4,T,USA,2
1693347,4,T,USA,1
1693348,4,T,USA,1
1693818,4,T,USA,2
1693861,4,T,USA,2
1693880,4,T,USA,3
1694141,2,T,USA,3
1694448,4,T,UK,3
1694647,4,T,USA,1
1694901,3,T,USA,3
1695219,4,T,USA,3
1695355,4,T,UK,3
1696148,4,T,France,3
1696165,4,T,USA,2
1696168,4,T,USA,1
1696396,4,T,USA,2
1696473,4,T,France,3
1696496,3,T,USA,2
1696789,2,T,USA,3
1697037,2,T,USA,3
1697674,4,T,USA,2
1697690,4,T,USA,2
1697774,4,T,other,1
1697856,4,T,USA,3
1698492,4,T,USA,1
1698547,3,T,USA,1
1698667,4,T,UK,3
1698944,4,T,USA,2
1698960,2,T,USA,3
1698972,4,T,USA,2
1699546,1,F,USA,1
1699876,4,T,UK,3
1703410,4,T,other,2
1703469,4,T,USA,3
1703588,4,T,USA,2
1703679,4,F,other,3
1703907,4,T,USA,3
1704569,4,T,USA,1
1704571,4,T,USA,1
1704577,2,T,USA,3
1704645,4,T,UK,2
1705196,4,T,USA,1
1705417,4,T,USA,2
1706079,4,T,USA,1
1706140,4,T,USA,2
1706887,4,T,USA,1
1707277,4,T,USA,2
1707941,4,T,USA,3
1708591,4,T,USA,1
1708982,4,T,USA,3
1709238,3,T,USA,3
1709892,4,T,USA,1
1709901,4,T,USA,2
1710609,3,F,other,2
1710622,3,F,other,2
1710673,4,F,other,3
1710994,4,F,other,3
1711133,4,T,USA,3
1711143,4,T,USA,2
1711145,4,T,USA,1
1711175,4,T,USA,3
1711356,4,T,USA,1
1711383,3,T,USA,1
1711384,3,T,USA,1
1711393,3,T,USA,3
1711395,3,T,USA,3
1711398,3,T,USA,2
1712152,4,F,other,3
1713183,4,T,USA,1
1713499,4,T,USA,2
1713755,4,T,USA,2
1714481,2,T,USA,2
1714991,4,F,France,3
1715025,2,T,USA,1
1715186,3,T,USA,3
1715253,4,T,USA,1
1715288,4,T,USA,1
1715380,4,T,USA,3
1715404,4,T,USA,3
1715607,4,T,USA,3
1715793,2,T,USA,3
1716019,4,T,other,1
1716020,4,T,USA,1
1716411,4,T,USA,1
1716452,2,T,USA,3
1716615,3,T,USA,3
1717077,2,T,USA,3
1717117,4,T,USA,2
1717144,4,T,USA,1
1717455,4,T,USA,2
1717910,3,T,USA,1
1718318,4,T,USA,3
1718342,4,T,USA,1
1718968,3,F,France,2
1719502,3,T,USA,3
1719614,1,T,UK,1
1720040,3,T,USA,3
1720443,4,T,USA,2
1721568,4,T,USA,3
1721607,4,T,UK,1
1721750,4,T,USA,2
1721864,4,T,USA,3
1721888,3,T,USA,3
1721919,3,T,USA,3
1721967,4,T,USA,3
1722098,4,T,USA,2
1722164,4,T,USA,1
1722174,4,T,USA,1
1722181,3,T,USA,2
1722198,4,T,USA,2
1722327,4,T,USA,2
1722395,4,T,France,1
1722617,4,F,other,1
1722761,4,T,USA,3
1722776,3,T,USA,2
1722777,3,T,other,2
1723002,4,T,UK,1
1723532,4,T,USA,2
1724000,3,T,USA,3
1724037,4,T,USA,1
1724179,4,T,USA,1
1724180,4,T,USA,1
1724190,3,T,UK,2
1724193,4,T,UK,2
1724201,2,T,USA,3
1724413,4,T,UK,3
1724880,4,T,UK,2
1725437,4,F,other,1
1725774,4,T,USA,1
1726761,4,T,USA,2
1726934,4,T,USA,1
1727017,4,F,other,2
1727082,3,T,USA,3
1727237,2,T,USA,3
1727348,4,T,USA,2
1727413,3,T,UK,1
1727885,4,T,USA,1
1728742,4,T,other,2
1728802,4,T,USA,3
1728889,2,T,USA,2
1728948,2,T,USA,3
1729005,4,T,USA,2
1729026,4,T,USA,3
1729240,4,T,USA,3
1729260,4,T,USA,2
1729569,4,T,USA,1
1729579,2,F,other,1
1729818,3,T,USA,2
1730457,1,T,UK,0
1730566,4,T,USA,2
1730640,4,T,USA,3
1730836,4,T,UK,3
1730975,3,T,USA,1
1731412,4,T,USA,2
1731505,2,T,UK,1
1731582,4,T,USA,2
1732344,4,F,other,2
1732496,4,T,USA,1
1732658,4,T,USA,3
1732858,4,T,USA,3
1733111,3,F,other,3
1733479,3,T,USA,3
1733566,4,T,USA,3
1734162,4,T,USA,1
1734321,4,T,USA,3
1734369,3,F,other,2
1734803,4,T,USA,2
1735791,4,T,USA,2
1736211,4,T,USA,3
1736268,4,T,USA,3
1736362,4,T,USA,1
1736592,4,T,USA,2
1736794,4,T,USA,3
1737340,2,T,USA,3
1737713,4,F,other,2
1737766,3,T,USA,2
1738481,4,T,USA,3
1739234,4,F,other,2
1740732,4,T,USA,2
1740752,4,T,USA,3
1740811,3,T,USA,1
1741487,4,T,other,1
1741682,4,T,USA,3
1742509,3,T,other,2
1743028,3,T,USA,1
1743689,3,F,other,2
1743852,3,T,USA,3
1744178,4,T,UK,1
1744391,3,T,USA,3
1744809,4,T,USA,1
1744811,4,T,USA,1
1745373,4,T,UK,1
1745406,4,T,USA,2
1745530,3,T,USA,1
1746382,4,T,USA,3
1746829,4,T,USA,3
1747382,4,F,other,2
1747494,4,T,USA,1
1747545,4,T,UK,1
1747649,4,T,USA,2
1747899,4,F,other,3
1748196,4,T,other,1
1748219,4,T,other,2
1748315,2,T,USA,1
1748317,3,T,USA,2
1748754,4,T,USA,2
1748996,4,T,USA,1
1749026,4,T,USA,2
1749222,4,F,other,1
1749247,3,T,USA,2
1749438,1,T,USA,0
1749683,4,T,USA,2
1749731,4,T,USA,3
1749735,4,T,USA,2
1749737,4,T,USA,3
1749806,4,T,UK,2
1749891,4,T,USA,3
1750364,4,T,USA,3
1750424,4,T,USA,2
1750510,4,T,USA,2
1750660,4,T,USA,2
1750728,4,T,USA,1
1750816,4,T,other,2
1751059,4,F,other,1
1751071,3,T,USA,1
1751872,4,T,other,3
1753266,4,T,USA,1
1753348,2,T,USA,1
1753400,4,T,USA,3
1753578,3,T,USA,1
1753695,4,T,USA,2
1753837,4,F,other,3
1753860,4,F,other,3
1754754,4,F,USA,2
1754799,4,T,USA,2
1754884,3,T,France,2
1755112,4,T,USA,2
1755524,3,T,USA,2
1755813,4,T,other,1
1756051,4,T,other,1
1756391,3,T,UK,3
1756768,4,T,USA,3
1756902,4,T,USA,2
1756980,4,T,USA,2
1757342,4,T,USA,3
1757347,4,T,USA,3
1757367,4,T,USA,3
1757378,4,T,USA,3
1757423,4,T,USA,1
1757465,4,F,other,1
1757485,4,T,USA,1
1757698,3,T,USA,2
1757893,4,T,USA,3
1758003,1,T,USA,1
1758767,3,T,USA,2
1758856,4,T,UK,1
1759189,2,T,UK,1
1759448,4,T,USA,3
1759573,4,T,USA,3
1759654,4,T,UK,2
1759685,4,T,UK,1
1759736,1,T,USA,0
1759851,4,T,USA,1
1759983,4,T,USA,1
1760306,4,T,USA,1
1760386,3,T,USA,3
1760449,4,T,UK,2
1760586,4,T,other,2
1760752,4,T,USA,1
1760876,4,T,USA,2
1760927,4,T,USA,2
1760978,4,F,other,3
1762161,4,T,UK,3
1762174,4,T,USA,3
1762229,3,T,USA,3
1762644,4,T,USA,2
1762654,3,T,USA,2
1762853,3,F,France,2
1763019,4,T,other,2
1763083,4,T,USA,3
1763465,3,T,USA,3
1763653,3,T,USA,1
1763877,3,T,USA,1
1763883,4,T,USA,1
1763910,4,T,USA,2
1763974,4,T,UK,2
1764861,4,T,other,1
1765082,4,T,USA,1
1765108,4,T,USA,1
1765164,4,T,USA,1
1765347,4,T,USA,1
1765652,4,T,USA,3
1765787,4,T,USA,1
1765789,4,T,USA,1
1765811,4,T,USA,2
1765827,4,T,other,2
1766407,4,T,USA,2
1766427,4,T,USA,1
1766668,4,T,UK,1
1766849,4,T,UK,2
1766884,3,T,USA,0
1767110,4,T,USA,2
1767151,3,T,USA,3
1767537,4,T,UK,2
1768211,4,F,other,2
1768389,4,T,USA,3
1768698,4,T,USA,3
1769145,4,T,USA,1
1769408,4,T,USA,1
1769516,2,T,UK,1
1769766,4,T,USA,2
1769840,4,T,USA,2
1770285,4,T,USA,2
1770807,3,T,USA,2
1771528,4,T,USA,1
1771672,4,T,other,1
1771673,4,T,USA,1
1772092,4,T,USA,1
1772497,4,T,USA,2
1772500,4,T,USA,3
1772651,3,T,USA,3
1772934,4,T,other,3
1773358,4,T,France,3
1773436,4,T,USA,1
1773944,4,T,USA,1
1774349,4,T,USA,1
1775245,4,T,USA,1
1775382,4,T,USA,1
1775563,1,T,UK,0
1775747,3,T,USA,2
1775854,2,T,UK,1
1776052,4,T,USA,3
1776063,3,T,USA,3
1776173,3,T,USA,2
1776338,4,T,USA,1
1776407,4,T,USA,3
1776556,3,T,USA,1
1776732,4,T,USA,2
1776893,4,T,USA,1
1777297,4,T,USA,2
1777374,4,T,other,2
1777932,3,T,USA,1
1778025,3,T,USA,1
1778258,3,T,USA,2
1778411,4,T,USA,2
1778413,3,T,other,2
1778514,2,T,USA,2
1778536,4,T,USA,1
1778697,4,T,USA,1
1778699,4,T,USA,1
1779176,4,T,USA,3
1779201,3,T,UK,3
1779349,4,T,USA,2
1779361,3,T,USA,3
1779474,3,T,USA,2
1779528,4,T,UK,1
1779735,4,T,USA,2
1779757,4,T,USA,1
1779835,4,T,USA,3
1779868,4,T,USA,1
1779914,2,T,USA,1
1780022,4,T,USA,3
1780595,4,T,USA,2
1780992,4,F,other,2
1781241,3,T,USA,3
1781274,4,T,USA,1
1781295,4,T,USA,2
1781303,4,T,USA,1
1781518,4,T,USA,3
1781597,4,T,USA,3
1781603,3,T,USA,1
1783029,3,T,USA,3
1783282,4,T,USA,3
1783500,4,T,USA,3
1783641,4,T,USA,1
1783685,4,T,USA,1
1783892,4,T,USA,1
1784129,4,T,USA,2
1784206,4,T,USA,2
1784275,2,T,USA,2
1784416,3,T,USA,1
1784663,3,F,other,0
1784877,4,T,USA,1
1785170,4,T,USA,2
1785251,4,T,USA,3
1785265,3,T,USA,3
1785529,4,T,USA,2
1785755,4,T,USA,2
1786099,4,T,USA,1
1786124,4,T,USA,3
1786136,4,T,USA,1
1786142,4,T,USA,1
1786183,4,T,USA,1
1786236,4,T,USA,3
1786413,4,T,USA,2
1786566,4,T,other,2
1786921,4,T,UK,2
1787090,4,T,USA,3
1787149,4,T,UK,3
1787428,2,T,other,1
1787511,3,T,USA,3
1787525,4,T,USA,3
1787603,3,T,USA,2
1787911,4,T,other,3
1788154,4,T,USA,1
1788165,3,T,USA,2
1788314,4,T,USA,1
1788621,4,T,other,1
1788624,2,T,USA,1
1788628,4,T,USA,2
1788636,2,T,USA,1
1788817,2,T,UK,1
1789015,4,T,USA,2
1789145,4,T,USA,2
1789259,4,T,USA,3
1789269,2,T,USA,2
1789511,2,T,USA,1
1789692,4,T,USA,3
1789747,4,T,USA,3
1789910,4,T,USA,2
1790007,4,T,USA,2
1790082,4,T,other,1
1790311,4,T,USA,1
1790523,3,T,USA,3
1790530,1,F,other,1
1790753,3,T,UK,2
1790780,4,T,USA,3
1790984,4,T,UK,2
1791085,4,T,USA,2
1792102,3,T,USA,2
1792218,2,T,USA,1
1792281,4,F,other,1
1792349,4,T,USA,1
1792363,4,T,USA,2
1792523,4,T,other,2
1792625,4,T,USA,3
1792713,4,T,USA,1
1793297,4,T,USA,2
1793433,4,T,USA,1
1793451,4,T,USA,2
1793604,4,T,USA,2
1794215,4,F,other,2
1794255,4,T,USA,2
1794772,3,T,USA,3
1795157,4,T,USA,1
1795427,3,T,USA,1
1795631,4,T,USA,1
1795698,3,T,USA,3
1795997,4,T,UK,1
1796704,4,T,USA,2
1796731,4,F,France,2
1797310,4,T,other,2
1797365,3,T,other,3
1797386,4,F,other,1
1798275,3,T,USA,3
1798372,4,T,USA,1
1798632,3,T,USA,2
1799339,4,T,USA,1
1799603,4,F,other,1
1801311,4,T,USA,2
1801574,4,T,USA,1
1801936,3,T,UK,2
1802055,4,T,USA,2
1802058,4,T,USA,1
1802287,3,F,other,1
1802676,3,T,USA,2
1802677,4,T,USA,3
1803115,2,T,UK,3
1803357,4,T,UK,2
1803905,4,T,UK,1
1803921,4,T,other,2
1804232,4,T,USA,3
1804427,3,F,France,3
1804484,4,T,UK,1
1804630,3,T,USA,2
1804779,4,F,France,2
1804898,3,T,USA,1
1804923,4,T,USA,1
1804924,4,T,USA,1
1804925,4,T,USA,1
1804947,4,F,other,2
1805163,4,T,USA,1
1805225,3,T,USA,2
1805246,4,T,USA,2
1805273,4,T,UK,3
1805799,2,T,USA,2
1806151,4,T,USA,3
1806217,4,T,USA,2
1806794,3,T,USA,2
1806845,3,T,USA,3
1806896,3,T,USA,2
1806914,4,T,USA,1
1806940,4,T,other,1
1807303,4,T,USA,3
1807444,4,T,USA,1
1807562,4,T,USA,3
1807604,4,T,USA,2
1807863,2,T,USA,3
1808298,4,T,France,1
1808524,4,T,USA,3
1808813,4,T,USA,1
1809047,4,T,USA,3
1809149,4,F,other,3
1809197,4,T,UK,3
1809431,4,T,other,2
1809724,4,F,France,3
1809864,4,F,France,1
1809984,4,T,USA,2
1809998,4,T,USA,2
1810092,4,T,USA,1
1810470,2,T,UK,2
1811382,4,F,other,2
1811626,3,T,USA,3
1811722,3,T,UK,3
1812202,3,T,USA,1
1812255,3,T,USA,1
1812339,4,F,other,1
1812450,4,T,USA,2
1812490,4,T,USA,3
1813663,4,T,USA,1
1815267,4,T,UK,1
1815901,4,T,USA,1
1815914,4,T,USA,1
1815915,4,T,UK,1
1816153,4,T,USA,3
1816171,3,T,USA,1
1816175,4,T,USA,1
1816176,4,T,USA,1
1816182,3,T,UK,1
1816238,4,T,other,2
1816379,4,T,USA,2
1816691,3,T,USA,3
1816742,4,T,France,2
1817535,3,T,USA,1
1817898,4,T,USA,1
1818342,3,T,USA,3
1818562,4,T,USA,2
1819155,4,T,USA,2
1819411,4,F,other,2
1819870,3,F,other,3
1820147,4,F,other,2
1820288,2,T,USA,3
1820400,2,T,USA,1
1821008,4,T,other,2
1821229,4,T,UK,1
1821599,2,T,USA,3
1821619,4,T,USA,2
1821739,4,T,USA,3
1821769,2,T,USA,1
1821807,4,T,USA,3
1821852,4,T,other,3
1821917,4,T,USA,2
1822415,4,T,USA,2
1822607,3,T,USA,2
1822639,3,T,USA,1
1822675,4,T,USA,2
1823008,4,T,other,2
1823101,4,T,USA,2
1823223,4,T,USA,3
1823361,4,T,USA,2
1823486,4,T,other,3
1823740,4,T,USA,3
1823753,4,T,UK,2
1823865,3,T,USA,3
1824605,4,T,USA,1
1824615,4,T,USA,2
1824623,4,T,USA,2
1824685,3,F,France,1
1824923,4,T,USA,3
1824929,1,T,USA,1
1825343,4,T,USA,3
1825348,4,T,USA,3
1826286,4,T,USA,1
1826962,3,T,USA,1
1827008,4,T,USA,3
1827432,3,T,USA,3
1827800,4,T,USA,3
1828055,4,F,other,3
1828413,3,T,USA,3
1828447,3,T,USA,3
1828716,4,T,USA,1
1829030,3,T,USA,1
1829152,3,T,USA,2
1829153,4,T,USA,2
1829283,4,F,other,3
1829882,4,T,USA,3
1830096,3,T,USA,3
1830116,4,T,USA,1
1830497,4,T,other,1
1830509,4,T,USA,0
1830531,3,T,UK,1
1830564,4,T,USA,1
1831084,4,T,USA,2
1831363,3,T,USA,1
1831593,4,T,USA,3
1831790,4,T,USA,3
1831904,4,F,France,3
1832668,3,T,USA,1
1832720,4,T,USA,3
1832832,3,T,USA,3
1832852,4,T,USA,2
1832872,4,T,USA,1
1832956,4,T,USA,3
1833143,4,T,USA,1
1833175,4,T,USA,3
1833995,4,T,USA,3
1834154,4,F,other,1
1834266,4,T,other,2
1834423,2,F,other,1
1834632,4,T,France,3
1835117,3,T,USA,2
1835175,4,T,other,3
1835296,3,F,France,3
1835442,4,T,USA,3
1835618,4,T,UK,2
1836147,4,T,USA,2
1836375,4,T,USA,3
1836516,4,T,other,2
1836984,4,T,USA,3
1837319,4,T,USA,1
1837323,4,T,UK,1
1837340,2,T,USA,1
1837467,3,T,USA,3
1837469,4,T,USA,1
1837764,4,T,USA,2
1837962,4,T,USA,2
1837991,4,T,USA,2
1838092,1,T,USA,0
1838160,4,T,USA,3
1838360,4,T,other,2
1838411,4,F,other,3
1838481,4,T,other,2
1838568,4,F,other,1
1838619,4,T,USA,3
1838773,3,T,UK,3
1838850,2,T,USA,1
1839137,4,T,France,1
1839311,4,T,USA,2
1839442,4,T,USA,3
1839754,4,T,other,2
1840524,4,T,other,1
1840882,3,T,USA,1
1841896,4,T,USA,1
1842301,4,T,other,1
1842580,3,T,USA,2
1842584,4,T,USA,3
1843039,4,F,France,3
1843756,4,T,USA,2
1843757,4,T,USA,2
1844312,4,F,other,3
1844854,2,T,USA,1
1844997,4,T,USA,1
1845075,4,F,other,3
1846390,3,T,USA,2
1846990,4,T,USA,3
1847035,4,T,USA,2
1847048,4,T,other,3
1847051,4,T,USA,2
1847080,4,T,USA,3
1847235,4,T,other,1
1847595,4,T,USA,3
1847692,4,T,USA,2
1847699,4,T,USA,1
1847722,4,T,USA,3
1847739,4,T,USA,2
1848628,4,T,USA,2
1848859,3,T,USA,1
1849147,4,T,other,3
1849156,2,T,USA,1
1850182,3,F,other,3
1851750,4,F,other,1
1851871,4,F,other,3
1852854,4,T,USA,2
1852976,3,T,USA,1
1853052,4,T,USA,3
1853104,4,T,USA,3
1853531,2,T,USA,3
1854045,4,T,USA,3
1854142,3,T,USA,1
1854166,4,T,USA,2
1854233,4,T,USA,2
1854918,4,F,other,2
1856252,4,T,USA,2
1856325,4,T,other,2
1856595,4,T,USA,3
1856608,4,T,UK,3
1856613,4,T,USA,2
1856672,3,T,USA,1
1856727,4,T,USA,3
1856731,4,T,USA,3
1856763,4,T,other,3
1856939,4,T,USA,1
1857326,4,T,USA,1
1857496,4,T,USA,1
1857769,4,T,USA,3
1857796,4,T,USA,1
1858038,4,T,USA,2
1858357,3,T,USA,1
1858361,4,T,USA,1
1858362,4,T,USA,2
1858363,3,T,USA,1
1858364,4,T,USA,1
1858396,4,T,UK,2
1858463,4,T,other,2
1859092,4,T,USA,2
1859351,4,T,USA,2
1859542,4,T,USA,2
1859617,4,T,USA,3
1859753,4,F,USA,2
1860181,4,T,USA,3
1860327,4,T,USA,1
1860806,4,F,France,2
1861004,3,T,USA,3
1861112,4,F,other,2
1861202,4,T,USA,2
1861514,4,T,USA,3
1862412,4,T,USA,1
1864055,4,F,other,3
1864846,4,T,other,3
1866000,4,T,France,3
1866391,4,F,other,1
1866400,2,F,other,3
1867752,3,F,other,1
1868310,4,T,USA,2
1868312,4,T,USA,1
1868452,4,T,USA,2
1868890,4,T,USA,2
1869010,4,T,USA,2
1869092,4,T,USA,2
1869304,2,T,USA,1
1869461,4,T,USA,2
1869771,3,F,other,2
1870038,4,T,France,2
1870132,3,T,USA,2
1870151,4,T,USA,1
1870221,4,T,USA,1
1870751,2,T,UK,1
1870798,4,T,USA,2
1871727,4,T,USA,2
1871833,2,T,USA,2
1872091,4,T,other,1
1872587,4,T,France,1
1872662,4,T,USA,2
1873263,3,F,other,3
1874279,4,T,USA,3
1874284,4,T,USA,3
1874295,4,T,USA,3
1875013,4,F,France,3
1875764,4,F,other,2
1875962,4,F,other,1
1876090,1,F,other,3
1878227,4,F,other,1
1878537,4,T,UK,2
1878658,3,T,USA,1
1878669,4,T,USA,1
1879298,3,T,USA,3
1879358,4,T,other,2
1879599,4,T,USA,1
1879793,4,F,other,3
1880202,4,T,USA,2
1880648,4,T,other,1
1880846,4,T,USA,3
1881802,4,T,other,1
1881868,3,F,France,3
1883153,4,T,USA,3
1883527,3,T,USA,3
1883528,4,T,USA,1
1883660,3,T,USA,3
1883995,3,T,USA,3
1884087,4,T,other,1
1884286,4,T,USA,3
1885039,4,T,USA,3
1885177,4,F,UK,3
1885734,4,T,USA,2
1886005,4,T,USA,1
1886830,4,F,other,1
1887066,4,T,USA,3
1888102,4,F,other,2
1888780,4,T,other,1
1888811,2,T,USA,3
1888823,4,T,USA,2
1889009,4,T,USA,1
1889253,4,T,USA,1
1889491,4,T,USA,1
1889579,4,T,USA,2
1889621,4,T,USA,3
1889788,4,T,USA,1
1889850,2,T,UK,2
1890357,3,T,UK,3
1890437,3,T,USA,1
1890515,2,T,USA,1
1890516,3,T,UK,1
1890522,4,T,USA,3
1890588,4,T,USA,1
1890829,4,T,USA,2
1891484,4,T,USA,1
1891605,4,T,USA,1
1891649,4,T,USA,2
1891803,4,T,USA,1
1892010,3,T,USA,2
1892794,4,T,USA,1
1892991,4,T,USA,2
1893207,4,T,USA,2
1893210,4,T,USA,2
1893245,4,T,USA,2
1893343,4,T,USA,2
1893483,4,T,USA,2
1893657,4,T,USA,1
1894338,2,T,USA,1
1894453,4,T,USA,1
1894619,2,T,USA,3
1894753,4,T,USA,3
1895102,4,T,USA,3
1895159,2,T,USA,1
1895286,3,T,USA,3
1895298,4,F,other,2
1895425,4,T,USA,1
1895463,4,F,other,2
1896345,4,T,USA,3
1896980,4,T,USA,3
1897539,3,F,other,3
1897778,3,T,USA,3
1898323,3,T,USA,1
1898372,3,T,USA,3
1898449,4,T,UK,2
1898539,2,T,USA,3
1898779,3,T,USA,1
1898814,3,T,USA,1
1898834,2,T,UK,1
1898971,3,T,USA,1
1899474,4,F,other,2
1899694,4,T,USA,1
1899730,4,T,USA,3
1899741,4,T,USA,1
1899769,4,T,USA,2
1899880,3,F,France,1
1900069,4,T,USA,2
1900319,4,T,USA,3
1900465,4,T,USA,2
1901554,4,T,USA,1
1903954,4,F,other,3
1904083,3,F,other,1
1904548,4,F,other,3
1904704,4,F,other,2
1906242,4,F,other,2
1907821,4,F,USA,1
1910848,4,T,USA,2
1911817,4,T,UK,3
1912439,2,T,UK,1
1913354,4,T,UK,3
1913703,4,T,USA,2
1914108,4,F,France,1
1914192,4,F,France,1
1915247,4,T,UK,1
1915291,4,T,USA,1
1915498,4,T,USA,3
1915861,4,T,USA,1
1915987,4,T,USA,3
1916996,4,T,USA,3
1917129,4,T,USA,3
1918307,4,T,USA,3
1918312,3,T,USA,1
1918615,4,T,USA,3
1919846,4,T,USA,2
1919853,3,T,UK,2
1919898,3,T,USA,2
1919947,3,T,USA,2
1920973,4,F,France,3
1921463,3,F,France,1
1922080,4,F,other,2
1922571,4,T,USA,1
1923001,4,T,USA,2
1923072,4,T,USA,1
1923165,4,T,UK,2
1923244,4,T,USA,3
1923287,4,T,USA,1
1923531,4,T,other,1
1923821,4,T,USA,2
1923955,4,T,USA,3
1923981,3,T,USA,1
1924384,4,T,USA,3
1924700,3,T,USA,3
